company_name,address,location,industry,website,phone,category,rating,review_count,website_title,website_description,company_size,source
IIIT-Bangalore (Ecity Campus),"26/C, Hosur Rd, Electronic City Phase I, Electronic City, Konappana Agrahara, Karnataka 560100","Bangalore, India",Information Technology,iiitb.ac.in,080 4140 7777,University,4.7,,,,,google_maps_detail_scrape_async
Bangalore Institute of Technology,"Krishna Rajendra Rd, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004","Bangalore, India",Information Technology,bit-bangalore.edu.in,080 2661 3237,College,4.2,,,,,google_maps_detail_scrape_async
Vyshnavi Information Technologies (India) Pvt. Ltd,"5th floor, Janardhana Towers, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025","Bangalore, India",Information Technology,vitinfotech.com,,Software company,3.4,,,,,google_maps_detail_scrape_async
Ivision Information Technologies Pvt Ltd,"2nd Floor, Gayatra Mansion, 13/2, Lalbagh Road, near Urvasi Theater, Doddamavalli, Sudhama Nagar, Bengaluru, Karnataka 560027","Bangalore, India",Information Technology,ivision.in,080 4124 6076,Software company,4.9,,,,,google_maps_detail_scrape_async
Cambridge Infotech - Artificial Intelligence | Data Science with AI | Data Analytics | Cybersecurity | Gen AI | Agentic AI,"3rd Floor, 137, Valmiki Main Rd, above Trinity Party Hall, Jal Vayu Vihar, Kalyan Nagar, Bengaluru, Karnataka 560043","Bangalore, India",Information Technology,cambridgeinfotech.io,099024 61116,Software Training Institute,4.8,,,,,google_maps_detail_scrape_async
Ramaiah Institute of Technology,"MSRIT Post, M S R Nagar, Mathikere, Bengaluru, Karnataka 560054","Bangalore, India",Information Technology,msrit.edu,080 2360 0822,College,4.3,,,,,google_maps_detail_scrape_async
Innohub Technologies India Pvt Ltd,"Concorde Tower 1 Level 14 &15 UB City, Vittal Mallya Rd, Bengaluru, Karnataka 560001","Bangalore, India",Information Technology,,080 4681 0681,Software company,4.8,,,,,google_maps_detail_scrape_async
Starcom Information Technology Limited,"Brigade Champak, Infantry Rd, Shivaji Nagar, Bengaluru, Karnataka 560001","Bangalore, India",Information Technology,starcominfotech.com,098450 55100,Software company,4.2,,,,,google_maps_detail_scrape_async
IBeON INFOTECH PVT LTD - BEST IT SUPPORT COMPANY IN BANGALORE,"8/1, 1st floor, 1st A cross, 24th Main Rd, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Bangalore, India",Information Technology,ibeoninfotech.com,080 4853 5499,Corporate office,4.9,,,,,google_maps_detail_scrape_async
Cerulean Information Technology Pvt. Ltd.,"12, 17th A Main Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560095","Bangalore, India",Information Technology,ceruleaninfotech.com,080 4110 4809,Software company,3.9,,,,,google_maps_detail_scrape_async
