company_name,address,location,industry,source
IIIT-Bangalore (Ecity Campus),,"Bangalore, India",Information Technology,google_maps_scrape
Vyshnavi Information Technologies (India) Pvt. Ltd,,"Bangalore, India",Information Technology,google_maps_scrape
Ivision Information Technologies Pvt Ltd,,"Bangalore, India",Information Technology,google_maps_scrape
Bangalore Institute of Technology,,"Bangalore, India",Information Technology,google_maps_scrape
Innohub Technologies India Pvt Ltd,,"Bangalore, India",Information Technology,google_maps_scrape
Cambridge Infotech - Artificial Intelligence | Data Science with AI | Data Analytics | Cybersecurity | Gen AI | Agentic AI,,"Bangalore, India",Information Technology,google_maps_scrape
Nitte Meenakshi Institute of Technology,,"Bangalore, India",Information Technology,google_maps_scrape
Starcom Information Technology Limited,,"Bangalore, India",Information Technology,google_maps_scrape
Cerulean Information Technology Pvt. Ltd.,,"Bangalore, India",Information Technology,google_maps_scrape
IBeON INFOTECH PVT LTD - BEST IT SUPPORT COMPANY IN BANGALORE,,"Bangalore, India",Information Technology,google_maps_scrape
